112,200,01,01,06-30-2016,16:00,17:00,05-29-2016,17:36,N,,
112,200,01,02,06-30-2016,08:00,09:30,05-29-2016,17:39,N,,
112,200,01,01,05-31-2016,12:00,13:30,05-30-2016,11:09,N,,
112,400,04,01,05-31-2016,08:00,09:30,05-30-2016,12:41,N,,
111,100,01,01,05-31-2016,14:00,15:30,05-31-2016,11:29,N,,
121,300,01,01,06-01-2016,10:00,11:00,05-31-2016,11:36,N,,
111,100,01,01,05-31-2016,16:00,17:30,05-31-2016,12:09,N,,
111,200,01,01,05-31-2016,18:00,19:30,05-31-2016,12:12,N,,
111,100,01,01,06-01-2016,10:00,11:30,05-31-2016,12:17,N,,
111,200,02,02,06-02-2016,10:00,11:30,05-31-2016,12:36,N,,
121,200,01,01,06-01-2016,12:00,13:30,05-31-2016,13:33,N,,
115,200,02,02,06-10-2016,10:00,11:30,06-06-2016,20:20,N,,
112,200,01,01,06-10-2016,10:00,11:00,06-07-2016,16:16,N,,
112,200,01,01,06-10-2016,14:30,15:30,06-07-2016,17:17,N,,
113,200,02,02,06-10-2016,13:00,14:30,06-07-2016,21:21,N,,
